Título,Año,Duración,Clasificación,Rating
121. Snatch. Cerdos y diamantes,2000,1h 44m,18,8.2
122. Hamilton,2020,2h 40m,12,8.3
123. L.A. Confidential,1997,2h 18m,18,8.2
124. 1917,2019,1h 59m,12,8.2
125. Ladrón de bicicletas,1948,1h 29m,A,8.3
126. Taxi Driver,1976,1h 54m,18,8.2
127. El hundimiento,2004,2h 36m,18,8.2
128. Dangal,2016,2h 41m,A,8.3
129. Batman Begins,2005,2h 20m,13,8.2
130. La muerte tenía un precio,1965,2h 12m,18,8.2
131. El lobo de Wall Street,2013,3h,16,8.2
132. Con faldas y a lo loco,1959,2h 1m,A,8.2
133. Green Book,2018,2h 10m,12,8.2
134. El chico,1921,1h 8m,A,8.2
135. El padre,2020,1h 37m,7,8.2
136. Vencedores o vencidos,1961,2h 59m,18,8.3
137. El show de Truman,1998,1h 43m,A,8.2
138. Eva al desnudo,1950,2h 18m,13,8.2
139. Top Gun: Maverick,2022,2h 10m,12,8.2
140. Shutter Island,2010,2h 18m,13,8.2
141. Pozos de ambición,2007,2h 38m,13,8.2
142. Casino,1995,2h 58m,18,8.2
143. Jurassic Park (Parque Jurásico),1993,2h 7m,13,8.2
144. Ran,1985,2h 40m,13,8.2
145. El sexto sentido,1999,1h 47m,13,8.2
146. El laberinto del fauno,2006,1h 58m,18,8.2
147. Sin perdón,1992,2h 10m,18,8.2
148. No es país para viejos,2007,2h 2m,18,8.2
149. Una mente maravillosa,2001,2h 15m,A,8.2
150. La cosa (El enigma de otro mundo),1982,1h 49m,16,8.2
151. Kill Bill: Volumen 1,2003,1h 51m,18,8.2
152. El tesoro de Sierra Madre,1948,2h 6m,Approved,8.2
153. Yojimbo,1961,1h 50m,13,8.2
154. Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,A,8.2
155. La gran evasión,1963,2h 52m,18,8.2
156. Buscando a Nemo,2003,1h 40m,A,8.2
157. Prisioneros,2013,2h 33m,16,8.2
158. Rashomon,1950,1h 28m,13,8.2
159. El castillo ambulante,2004,1h 59m,7,8.2
160. El hombre elefante,1980,2h 4m,14,8.2
161. Chinatown,1974,2h 10m,18,8.1
162. Crimen perfecto,1954,1h 45m,A,8.2
163. Lo que el viento se llevó,1939,3h 58m,A,8.2
164. V de vendetta,2005,2h 12m,12,8.2
165. Lock & Stock,1998,1h 47m,18,8.1
166. El secreto de sus ojos,2009,2h 9m,7,8.2
167. Del revés (Inside Out),2015,1h 35m,A,8.1
168. Toro salvaje,1980,2h 9m,16,8.1
169. Tres anuncios en las afueras,2017,1h 55m,16,8.1
170. Trainspotting,1996,1h 33m,18,8.1
171. El puente sobre el río Kwai,1957,2h 41m,A,8.1
172. Klaus,2019,1h 36m,A/i,8.2
173. Fargo,1996,1h 38m,18,8.1
174. Spider-Man: No Way Home,2021,2h 28m,7,8.2
175. Atrápame si puedes,2002,2h 21m,7,8.1
176. Warrior,2011,2h 20m,12,8.1
177. Gran Torino,2008,1h 56m,13,8.1
178. Mi vecino Totoro,1988,1h 26m,A,8.1
179. Million Dollar Baby,2004,2h 12m,13,8.1
180. Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,7,8.1
181. Children of Heaven,1997,1h 29m,13,8.2
182. 12 años de esclavitud,2013,2h 14m,16,8.1
183. Blade Runner,1982,1h 57m,13,8.1
184. Ben-Hur,1959,3h 32m,A,8.1
185. Antes de amanecer,1995,1h 41m,T,8.1
186. El gran hotel Budapest,2014,1h 39m,12,8.1
187. Barry Lyndon,1975,3h 5m,18,8.1
188. Perdida,2014,2h 29m,16,8.1
189. Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,16,8.1
190. La quimera del oro,1925,1h 35m,A,8.1
191. Mad Max: Furia en la carretera,2015,2h,16,8.1
192. Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,18,8.1
193. En el nombre del padre,1993,2h 13m,13,8.1
194. El club de los poetas muertos,1989,2h 8m,13,8.1
195. Relatos salvajes,2014,2h 2m,16,8.1
196. El cazador,1978,3h 3m,18,8.1
197. El maquinista de La General,1926,1h 18m,A,8.1
"198. Monstruos, S.A.",2001,1h 32m,A,8.1
199. La ley del silencio,1954,1h 48m,7,8.1
200. El moderno Sherlock Holmes,1924,45m,A,8.2
201. Cómo entrenar a tu dragón,2010,1h 38m,7/i,8.1
202. Tiburón,1975,2h 4m,14,8.1
203. El tercer hombre,1949,1h 44m,A,8.1
204. El salario del miedo,1953,2h 11m,Not Rated,8.2
205. Mary and Max,2009,1h 32m,Not Rated,8.1
206. Fresas salvajes,1957,1h 31m,7,8.1
207. Caballero sin espada,1939,2h 9m,A,8.1
208. Ratatouille,2007,1h 51m,A,8.1
209. Le Mans '66,2019,2h 32m,7,8.1
210. Cuentos de Tokio,1953,2h 16m,A,8.1
211. El gran Lebowski,1998,1h 57m,13,8.1
212. La habitación,2015,1h 58m,12,8.1
213. El séptimo sello,1957,1h 36m,13,8.1
214. Rocky,1976,2h,18,8.1
215. Logan,2017,2h 17m,16,8.1
216. Spotlight,2015,2h 9m,12,8.1
217. Hotel Rwanda,2004,2h 1m,13,8.1
218. Terminator,1984,1h 47m,18,8.1
219. Platoon,1986,2h,18,8.1
220. La pasión de Juana de Arco,1928,1h 50m,13,8.1
221. El odio,1995,1h 38m,18,8.1
222. Antes del atardecer,2004,1h 20m,13,8.1
223. Los mejores años de nuestra vida,1946,2h 50m,A,8.1
224. Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,7,8.1
225. El exorcista,1973,2h 2m,18,8.1
226. Jai Bhim,2021,2h 44m,Not Rated,8.7
227. Rush,2013,2h 3m,12,8.1
"228. Network, un mundo implacable",1976,2h 1m,18,8.1
229. El mago de Oz,1939,1h 42m,A,8.1
230. Cuenta conmigo,1986,1h 29m,A,8.1
231. Los Increíbles,2004,1h 55m,A,8.0
232. Siempre a tu lado (Hachiko),2009,1h 33m,A,8.1
233. Mi padre y mi hijo,2005,1h 52m,Not Rated,8.2
234. La doncella,2016,2h 25m,16,8.1
235. Hacia rutas salvajes,2007,2h 28m,7,8.1
236. Sonrisas y lágrimas,1965,2h 52m,A,8.1
237. Ser o no ser,1942,1h 39m,A,8.1
238. La batalla de Argel,1966,2h 1m,18,8.1
239. Atrapado en el tiempo,1993,1h 41m,T,8.0
240. Las uvas de la ira,1940,2h 9m,A,8.1
241. Amores perros,2000,2h 34m,18,8.1
242. Rebeca,1940,2h 10m,14,8.1
243. El gigante de hierro,1999,1h 26m,A,8.1
244. La leyenda del indomable,1967,2h 7m,7,8.1
245. Criadas y señoras,2011,2h 26m,A,8.1
246. Sucedió una noche,1934,1h 45m,A,8.1
247. Drishyam,2015,2h 43m,Not Rated,8.2
248. Bailando con lobos,1990,3h 1m,A,8.0
249. Aladdín,1992,1h 30m,A,8.0
250. Gangs of Wasseypur,2012,5h 21m,16,8.2
